0.1923,0.9448,5.331,9.076
2.47718079,4.82223117,3.56079437,3.69628474
1.84150932,2.45449865,1.83909642,1.64915255
-0.02169712,-1.12255048,-1.74701102,-9.86069196
-0.11988362,-1.42631393,-1.03237313,0.19579987
0.61340824,0.45489422,0.83167545,1.66242117
3.45414648,5.08382502,3.65670429,4.44088978
2.5515108,2.18226881,1.67520788,1.92828831
-0.21646561,-1.19534623,-2.07416615,-16.7959777
-0.06990078,-1.03142861,-0.89030421,-0.81633314
0.61566441,0.45798739,0.85235381,1.50195124
2.51909839,3.53324124,4.12713694,3.78717363
2.4371245,2.48697936,1.79837462,1.57027864
0.32505524,-0.75688448,-1.69935174,-11.6558897
0.1060243,-1.27852357,-0.98913582,0.52942835
2.34126273,0.71875312,0.83216907,4.86851938
